Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
As a admin I want to verify working functionality of visibility after selecting private option,RE-71,10070,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 4:47 PM,08/Sep/21 5:22 PM,08/Sep/21 5:22 PM,08/Sep/21 9:58 AM,,0,only admin can view property after selecting this option,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fb:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of visibility after selecting password protected option,RE-70,10069,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 4:42 PM,08/Sep/21 5:22 PM,08/Sep/21 5:22 PM,08/Sep/21 9:58 AM,,0,,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000f3:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of visibility after selecting public option,RE-69,10068,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 4:38 PM,08/Sep/21 5:22 PM,08/Sep/21 5:22 PM,08/Sep/21 9:58 AM,,0,,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ev:,,RE Sprint 1,,,,,,,,Done
" As a admin I want to verify working functionality status field after giving after giving future date ,month or year",RE-68,10067,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 4:27 PM,08/Sep/21 5:23 PM,08/Sep/21 5:23 PM,08/Sep/21 9:58 AM,,0,"When I give future date ,month or year I want to verify status of property filled changed to schedule or not",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000en:,,RE Sprint 1,,,,,,,,Done
"As a admin I want to verify working functionality of 'Schedule Button which appears after giving future date ,month or year",RE-67,10066,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 4:10 PM,08/Sep/21 5:23 PM,08/Sep/21 5:23 PM,08/Sep/21 9:58 AM,,0,"When I enter future date, month or year Schedule button gets visible automatically.

I want to verify it’s functionality (Link is generated and Admin should be able top click on link and should navigate to other page)",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ef:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of 'Preview Button' so that I can Preview my property,RE-66,10065,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 3:53 PM,08/Sep/21 5:24 PM,08/Sep/21 5:23 PM,08/Sep/21 9:58 AM,,0,I want to see preview of my property after filling required information from all fields after clicking on preview button,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 4:03 PM;ug:0d5bfe74-671d-4eea-9532-8c9e21e40aa6;preview.PNG;https://ksrtc110345.atlassian.net/secure/attachment/10025/preview.PNG,,,,,,,,{},,,,,,,0|i000e7:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of 'Cancel option' of publish field,RE-65,10064,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 3:38 PM,08/Sep/21 5:24 PM,08/Sep/21 5:24 PM,08/Sep/21 9:59 AM,,0,As a admin I want to verify that If I don’t want to make changes while publishing and want to publish property immediately then cancel option which is provided is working or not,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dz:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify that after clicking on OK button changes made are reflected on screen or not (changes are saved or not),RE-64,10063,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 3:33 PM,08/Sep/21 5:24 PM,08/Sep/21 5:24 PM,08/Sep/21 9:59 AM,,0,"As a admin I want to verify that when I am making changes in date,month and year according to requirements and clicking on OK button changes are saved or not.",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dr:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of 'OK button' of publish field after making required changes,RE-63,10062,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 3:24 PM,08/Sep/21 5:25 PM,08/Sep/21 5:25 PM,08/Sep/21 9:59 AM,,0,"As a admin I want to verify that when I am making changes in date,month and year according to requirements and clicking on OK Button it is working or not.",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dj:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of publish field after entering future year,RE-62,10061,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 3:20 PM,08/Sep/21 5:25 PM,08/Sep/21 5:25 PM,08/Sep/21 9:59 AM,,0,As a admin I want to verify that when I am giving future year to publish property then it is getting scheduled for next year or not.,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 3:23 PM;ug:0d5bfe74-671d-4eea-9532-8c9e21e40aa6;year_edit.PNG;https://ksrtc110345.atlassian.net/secure/attachment/10023/year_edit.PNG,,,,,,,,{},,,,,,,0|i000db:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of publish field after entering future month,RE-61,10060,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 3:17 PM,08/Sep/21 5:26 PM,08/Sep/21 5:25 PM,08/Sep/21 9:59 AM,,0,As a admin I want to verify that when I am giving future month to publish property then it is getting scheduled for next month or not.,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 3:17 PM;ug:0d5bfe74-671d-4eea-9532-8c9e21e40aa6;Month_edit.PNG;https://ksrtc110345.atlassian.net/secure/attachment/10022/Month_edit.PNG,,,,,,,,{},,,,,,,0|i000d3:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of publish field after entering future date,RE-59,10058,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 3:04 PM,08/Sep/21 5:26 PM,08/Sep/21 5:26 PM,08/Sep/21 9:59 AM,,0,As a admin I want to verify that when I am giving future date to publish property then it is getting scheduled for next date or not.,,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 3:10 PM;ug:0d5bfe74-671d-4eea-9532-8c9e21e40aa6;date_edit.PNG;https://ksrtc110345.atlassian.net/secure/attachment/10021/date_edit.PNG,,,,,,,,{},,,,,,,0|i000cv:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of publish field after clicking on edit,RE-58,10057,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 2:46 PM,08/Sep/21 5:26 PM,08/Sep/21 5:26 PM,08/Sep/21 10:00 AM,,0,"As a admin I want to verify that publish field of property is changing according to requirement or not.

Example; Public , Password protected , Private",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000cn:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of 'EDIT' option of publish field,RE-57,10056,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 2:38 PM,08/Sep/21 5:27 PM,08/Sep/21 5:27 PM,08/Sep/21 10:00 AM,,0,"As a admin I want to verify working functionality of ‘EDIT’ option of publish field. 

So that i can edit the publish option of Property.",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000cf:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify that after clicking on OK button of visibility field changes are reflected or not,RE-56,10055,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 2:31 PM,08/Sep/21 5:27 PM,08/Sep/21 5:27 PM,08/Sep/21 10:00 AM,,0,"As a admin I want to verify that visibility of property is changing according to requirement or not.

Example; if I select Publish , Password protected,private then after selecting OK button changes should be reflected on field",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000c7:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify that after clicking on Cancel option required changes on visibility properties field are reflected on screen or not,RE-55,10054,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 2:23 PM,08/Sep/21 5:27 PM,08/Sep/21 5:27 PM,08/Sep/21 10:00 AM,,0,"As a admin I want to verify that visibility of property is changing according to requirement or not.

Example; If I don’t want to change visibility of property then cancel option should work",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,RE-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bz:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of 'CANCEL' option of visibility properties field,RE-54,10053,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 2:16 PM,08/Sep/21 5:27 PM,08/Sep/21 5:27 PM,08/Sep/21 10:00 AM,,0,"As a admin I want to verify that visibility of property is changing according to requirement or not.

Example; If I want to keep previous selected option as it is  of property field then cancel option should work",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000br:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of 'OK'Button after selecting visibility of property,RE-53,10052,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 10:54 AM,08/Sep/21 5:28 PM,08/Sep/21 5:28 PM,08/Sep/21 10:00 AM,,0,"As a admin I want to verify that visibility of property is changing according to requirement or not.

Example: If I select Public ,Password protected , Private then Ok button should work.",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bj:,,RE Sprint 1,,,,,,,,Done
As a admin I want to verify working functionality of visibility field after clicking on edit,RE-52,10051,Test,Done,RE,Real Estate,software,Sneha Khatke,612ef7d144c8ed006880e9aa,,Medium,Done,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,Sneha Khatke,612ef7d144c8ed006880e9aa,07/Sep/21 10:50 AM,08/Sep/21 5:28 PM,08/Sep/21 5:28 PM,08/Sep/21 10:00 AM,,0,"As a admin I want to verify that visibility of property is changing according to requirement or not.

Example; Public , Password protected , Private",,Sneha Khatke,612ef7d144c8ed006880e9aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000bb:,,RE Sprint 1,,,,,,,,Done
